23, Local-gov, 324960, 9, Farming-fishing, White, Male, 40, Poland, <=50K
55, Private, 282753, 3, Other-service, Black, Male, 25, United-States, <=50K
41, Private, 194636, 13, Exec-managerial, White, Male, 60, United-States, >50K
23, Private, 153044, 9, Handlers-cleaners, Black, Female, 7, United-States, <=50K
38, Private, 411797, 11, Adm-clerical, White, Female, 40, United-States, <=50K
39, Private, 117683, 9, Transport-moving, White, Male, 40, United-States, >50K
19, Private, 376540, 9, Adm-clerical, White, Female, 30, United-States, <=50K
49, Private, 72393, 5, Machine-op-inspct, White, Female, 40, United-States, <=50K
32, Private, 270335, 13, Adm-clerical, White, Male, 40, Philippines, >50K
27, Private, 96226, 9, Craft-repair, White, Male, 70, United-States, <=50K
38, Private, 95336, 13, Sales, White, Male, 50, United-States, >50K
33, Private, 258498, 10, Craft-repair, White, Female, 60, United-States, <=50K
63, ?, 149698, 10, ?, White, Male, 15, United-States, <=50K
23, Private, 205865, 13, Exec-managerial, White, Male, 28, United-States, <=50K
33, Self-emp-inc, 155781, 10, Craft-repair, White, Male, 60, ?, <=50K
54, Self-emp-not-inc, 406468, 9, Sales, Black, Male, 40, United-States, <=50K
29, Private, 177119, 11, Tech-support, White, Female, 45, United-States, <=50K
48, ?, 144397, 10, ?, Black, Female, 30, United-States, <=50K
35, Self-emp-not-inc, 372525, 13, Exec-managerial, White, Male, 40, United-States, <=50K
28, Private, 164170, 11, Adm-clerical, Asian-Pac-Islander, Female, 40, India, <=50K
37, Private, 183800, 13, Prof-specialty, White, Male, 50, United-States, >50K
42, Self-emp-not-inc, 177307, 15, Farming-fishing, White, Male, 65, United-States, >50K
40, Private, 170108, 14, Prof-specialty, White, Male, 40, United-States, <=50K
47, Private, 341995, 10, Sales, White, Male, 55, United-States, <=50K
22, Private, 226508, 13, Exec-managerial, White, Female, 50, United-States, <=50K
30, Private, 87418, 13, Exec-managerial, White, Male, 45, United-States, >50K
28, Private, 109165, 9, Tech-support, White, Male, 40, United-States, <=50K
63, Local-gov, 28856, 4, Other-service, White, Male, 55, United-States, <=50K
51, Self-emp-not-inc, 175897, 5, Craft-repair, White, Male, 20, United-States, <=50K
22, Private, 99697, 9, Handlers-cleaners, White, Female, 40, United-States, <=50K
27, ?, 90270, 12, ?, Amer-Indian-Eskimo, Male, 40, United-States, <=50K
35, Private, 152375, 9, Sales, White, Male, 45, United-States, <=50K
46, Private, 171550, 9, Machine-op-inspct, White, Female, 38, United-States, <=50K
37, Private, 211154, 10, Machine-op-inspct, White, Male, 52, United-States, <=50K
24, Private, 202570, 13, Prof-specialty, Black, Male, 15, United-States, <=50K
37, Self-emp-not-inc, 168496, 9, Handlers-cleaners, White, Male, 10, United-States, <=50K
53, Private, 68898, 10, Tech-support, White, Male, 40, United-States, <=50K
27, Private, 93235, 9, Sales, White, Male, 30, United-States, <=50K
38, Private, 278924, 10, Craft-repair, White, Male, 44, United-States, <=50K
53, Self-emp-not-inc, 311020, 6, Farming-fishing, White, Male, 60, United-States, <=50K
34, Private, 175878, 10, Craft-repair, White, Male, 40, United-States, <=50K
23, Private, 543028, 9, Sales, Black, Male, 40, United-States, <=50K
39, Private, 202027, 13, Exec-managerial, White, Male, 45, United-States, >50K
43, Private, 158926, 14, Prof-specialty, Asian-Pac-Islander, Female, 50, South, <=50K
67, Self-emp-inc, 76860, 9, Exec-managerial, Asian-Pac-Islander, Male, 40, United-States, >50K
81, Self-emp-not-inc, 136063, 9, Exec-managerial, White, Male, 30, United-States, <=50K
21, Private, 186648, 10, Other-service, White, Male, 20, United-States, <=50K
23, Private, 257509, 10, Sales, White, Male, 25, United-States, <=50K
25, Private, 98155, 10, Transport-moving, White, Male, 40, United-States, <=50K
42, Private, 274198, 3, Machine-op-inspct, White, Female, 38, Mexico, <=50K
38, Private, 97083, 10, Adm-clerical, Black, Female, 40, United-States, <=50K
64, ?, 29825, 9, ?, White, Male, 5, United-States, <=50K
32, Private, 262153, 9, Machine-op-inspct, White, Male, 40, United-States, <=50K
37, Private, 214738, 9, Machine-op-inspct, White, Male, 40, United-States, <=50K
51, Private, 138022, 14, Exec-managerial, White, Male, 60, United-States, >50K
22, Private, 91842, 10, Sales, White, Female, 42, United-States, <=50K
33, Private, 373662, 2, Priv-house-serv, White, Female, 40, Guatemala, <=50K
42, Private, 162003, 9, Machine-op-inspct, White, Male, 55, United-States, <=50K
19, ?, 52114, 10, ?, White, Female, 10, United-States, <=50K
51, Local-gov, 241843, 1, Other-service, White, Male, 40, United-States, <=50K
23, Private, 375871, 9, Adm-clerical, White, Female, 40, Mexico, <=50K
37, Private, 186934, 7, Machine-op-inspct, White, Male, 44, United-States, >50K
37, Private, 176900, 9, Craft-repair, White, Male, 99, United-States, >50K
47, Private, 21906, 14, Prof-specialty, White, Female, 25, United-States, <=50K
41, Private, 132222, 15, Prof-specialty, White, Male, 40, United-States, >50K
33, Private, 143653, 9, Craft-repair, White, Male, 30, United-States, <=50K
31, Private, 111567, 13, Sales, White, Male, 40, United-States, >50K
31, Private, 78602, 12, Other-service, Amer-Indian-Eskimo, Female, 40, United-States, <=50K
35, Private, 465507, 9, Machine-op-inspct, Black, Male, 40, United-States, <=50K
38, Self-emp-inc, 196373, 9, Exec-managerial, White, Male, 40, United-States, >50K
18, Private, 293227, 9, Other-service, White, Female, 45, United-States, <=50K
20, Private, 241752, 9, Machine-op-inspct, White, Male, 40, United-States, <=50K
54, Local-gov, 166398, 10, Exec-managerial, Black, Female, 35, United-States, <=50K
40, Private, 184682, 10, Adm-clerical, White, Female, 40, United-States, <=50K
36, Self-emp-inc, 108293, 13, Exec-managerial, White, Female, 45, United-States, >50K
43, Private, 250802, 10, Craft-repair, White, Male, 35, United-States, <=50K
44, Self-emp-not-inc, 325159, 10, Farming-fishing, White, Male, 40, United-States, <=50K
44, State-gov, 174675, 9, Prof-specialty, White, Female, 40, United-States, >50K
43, Private, 227065, 14, Exec-managerial, White, Male, 43, United-States, >50K
51, Private, 269080, 4, Other-service, Black, Female, 40, United-States, <=50K
18, Private, 177722, 9, Other-service, White, Female, 20, United-States, <=50K
51, Private, 133461, 10, Exec-managerial, White, Male, 40, United-States, <=50K
41, Private, 239683, 6, Craft-repair, White, Male, 30, ?, <=50K
44, Self-emp-inc, 398473, 10, Sales, White, Male, 70, United-States, >50K
33, Local-gov, 298785, 6, Transport-moving, White, Male, 40, United-States, <=50K
33, Self-emp-not-inc, 123424, 13, Exec-managerial, White, Male, 40, United-States, >50K
42, Private, 176286, 12, Exec-managerial, White, Male, 40, United-States, >50K
25, Private, 150062, 10, Prof-specialty, White, Male, 45, United-States, <=50K
32, Private, 169240, 9, Machine-op-inspct, White, Female, 38, United-States, <=50K
32, Private, 288273, 13, Craft-repair, White, Male, 70, Mexico, <=50K
36, Private, 526968, 6, Exec-managerial, White, Female, 40, United-States, <=50K
28, Private, 57066, 9, Transport-moving, White, Male, 40, United-States, <=50K
20, Private, 323573, 9, Other-service, White, Female, 20, United-States, <=50K
35, Self-emp-inc, 368825, 10, Sales, White, Male, 60, United-States, >50K
55, Self-emp-not-inc, 189721, 9, Craft-repair, White, Male, 20, United-States, <=50K
48, Private, 164966, 13, Exec-managerial, Asian-Pac-Islander, Male, 40, India, >50K
36, ?, 94954, 11, ?, White, Female, 20, United-States, <=50K
34, Private, 202046, 9, Craft-repair, White, Male, 35, United-States, >50K
28, Private, 161538, 13, Tech-support, White, Female, 35, United-States, <=50K
67, Private, 105252, 13, Exec-managerial, White, Male, 40, United-States, >50K
37, Private, 200153, 9, Craft-repair, White, Male, 40, United-States, <=50K
44, Private, 32185, 9, Transport-moving, White, Male, 70, United-States, <=50K
25, Private, 178326, 10, Sales, White, Female, 40, United-States, <=50K
21, Private, 255957, 10, Exec-managerial, White, Female, 40, United-States, <=50K
40, State-gov, 188693, 14, Prof-specialty, White, Male, 35, United-States, >50K
78, Private, 182977, 9, Other-service, Black, Female, 40, United-States, <=50K
34, Private, 159929, 9, Handlers-cleaners, White, Male, 40, United-States, <=50K
49, Private, 123207, 9, Adm-clerical, White, Female, 44, United-States, <=50K
22, Private, 284317, 12, Adm-clerical, White, Female, 40, United-States, <=50K
23, ?, 184699, 9, ?, Black, Female, 40, United-States, <=50K
60, Self-emp-not-inc, 154474, 9, Farming-fishing, White, Male, 42, United-States, <=50K
45, Local-gov, 318280, 9, Protective-serv, White, Male, 40, United-States, >50K
63, Private, 254907, 11, Other-service, White, Female, 20, United-States, <=50K
41, Private, 349221, 9, Craft-repair, Black, Female, 35, United-States, <=50K
47, Private, 335973, 9, Adm-clerical, White, Female, 40, United-States, <=50K
44, Private, 126701, 9, Craft-repair, White, Male, 40, United-States, <=50K
51, Private, 122159, 10, Prof-specialty, White, Female, 40, United-States, <=50K
46, Private, 187370, 13, Sales, White, Male, 40, United-States, <=50K
41, Private, 194636, 11, Machine-op-inspct, White, Male, 40, United-States, <=50K
50, Self-emp-not-inc, 124793, 9, Craft-repair, White, Male, 30, United-States, <=50K
47, Private, 192835, 9, Adm-clerical, White, Male, 50, United-States, >50K
35, Private, 290226, 9, Exec-managerial, White, Male, 45, United-States, <=50K
56, Private, 112840, 9, Exec-managerial, White, Male, 55, United-States, >50K
45, Private, 89325, 14, Prof-specialty, White, Male, 45, United-States, <=50K
48, Federal-gov, 33109, 13, Exec-managerial, White, Male, 58, United-States, >50K
40, Private, 82465, 10, Machine-op-inspct, White, Male, 40, United-States, <=50K
39, Self-emp-inc, 329980, 13, Exec-managerial, White, Male, 50, United-States, >50K
